ダウンロードした時刻：2018/02/09 23:00:34

,福井,福井,福井,福井,福井,福井,福井,福井
年月日,降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1980/12/1,0,1,8,1,0,1,8,1
1980/12/2,0,1,8,1,0,1,8,1
1980/12/3,0,1,8,1,0,1,8,1
1980/12/4,0,0,8,1,0,1,8,1
1980/12/5,0,0,8,1,0,1,8,1
1980/12/6,0,1,8,1,0,1,8,1
1980/12/7,0,1,8,1,0,1,8,1
1980/12/8,0,0,8,1,0,1,8,1
1980/12/9,0,0,8,1,0,1,8,1
1980/12/10,0,0,8,1,0,1,8,1
1980/12/11,0,1,8,1,0,1,8,1
1980/12/12,0,0,8,1,0,1,8,1
1980/12/13,23,0,8,1,23,0,8,1
1980/12/14,7,0,8,1,26,0,8,1
1980/12/15,2,0,8,1,17,0,8,1
1980/12/16,0,0,8,1,14,0,8,1
1980/12/17,0,1,8,1,12,0,8,1
1980/12/18,0,0,8,1,9,0,8,1
1980/12/19,0,0,8,1,2,0,8,1
1980/12/20,3,0,8,1,3,0,8,1
1980/12/21,6,0,8,1,8,0,8,1
1980/12/22,1,0,8,1,9,0,8,1
1980/12/23,0,0,8,1,5,0,8,1
1980/12/24,4,0,8,1,7,0,8,1
1980/12/25,0,1,8,1,0,0,8,1
1980/12/26,1,0,8,1,1,0,8,1
1980/12/27,26,0,8,1,26,0,8,1
1980/12/28,49,0,8,1,71,0,8,1
1980/12/29,60,0,8,1,122,0,8,1
1980/12/30,10,0,8,1,120,0,8,1
1980/12/31,2,0,8,1,112,0,8,1
1981/1/1,0,0,8,1,101,0,8,1
1981/1/2,3,0,8,1,86,0,8,1
1981/1/3,17,0,8,1,92,0,8,1
1981/1/4,3,0,8,1,85,0,8,1
1981/1/5,58,0,8,1,126,0,8,1
1981/1/6,51,0,8,1,163,0,8,1
1981/1/7,9,0,8,1,160,0,8,1
1981/1/8,2,0,8,1,141,0,8,1
1981/1/9,0,0,8,1,137,0,8,1
1981/1/10,1,0,8,1,115,0,8,1
1981/1/11,53,0,8,1,157,0,8,1
1981/1/12,15,0,8,1,159,0,8,1
1981/1/13,42,0,8,1,184,0,8,1
1981/1/14,23,0,8,1,192,0,8,1
1981/1/15,12,0,8,1,196,0,8,1
1981/1/16,19,0,8,1,191,0,8,1
1981/1/17,9,0,8,1,194,0,8,1
1981/1/18,1,0,8,1,185,0,8,1
1981/1/19,1,0,8,1,178,0,8,1
1981/1/20,6,0,8,1,175,0,8,1
1981/1/21,13,0,8,1,184,0,8,1
1981/1/22,2,0,8,1,171,0,8,1
1981/1/23,7,0,8,1,175,0,8,1
1981/1/24,0,0,8,1,166,0,8,1
1981/1/25,0,0,8,1,157,0,8,1
1981/1/26,2,0,8,1,154,0,8,1
1981/1/27,7,0,8,1,155,0,8,1
1981/1/28,3,0,8,1,155,0,8,1
1981/1/29,1,0,8,1,150,0,8,1
1981/1/30,1,0,8,1,149,0,8,1
1981/1/31,0,1,8,1,147,0,8,1
1981/2/1,0,0,8,1,145,0,8,1
1981/2/2,0,0,8,1,142,0,8,1
1981/2/3,1,0,8,1,140,0,8,1
1981/2/4,0,0,8,1,139,0,8,1
1981/2/5,0,0,8,1,139,0,8,1
1981/2/6,0,0,8,1,137,0,8,1
1981/2/7,0,0,8,1,135,0,8,1
1981/2/8,0,0,8,1,131,0,8,1
1981/2/9,0,0,8,1,130,0,8,1
1981/2/10,2,0,8,1,129,0,8,1
1981/2/11,5,0,8,1,132,0,8,1
1981/2/12,0,0,8,1,130,0,8,1
1981/2/13,0,1,8,1,124,0,8,1
1981/2/14,0,1,8,1,121,0,8,1
1981/2/15,0,1,8,1,116,0,8,1
1981/2/16,0,1,8,1,110,0,8,1
1981/2/17,4,0,8,1,108,0,8,1
1981/2/18,0,1,8,1,104,0,8,1
1981/2/19,0,0,8,1,98,0,8,1
1981/2/20,0,0,8,1,95,0,8,1
1981/2/21,1,0,8,1,95,0,8,1
1981/2/22,0,0,8,1,94,0,8,1
1981/2/23,0,1,8,1,94,0,8,1
1981/2/24,0,0,8,1,92,0,8,1
1981/2/25,21,0,8,1,109,0,8,1
1981/2/26,22,0,8,1,121,0,8,1
1981/2/27,7,0,8,1,123,0,8,1
1981/2/28,4,0,8,1,119,0,8,1
