ダウンロードした時刻：2018/02/16 14:33:35

,福井,福井,福井,福井
年月,最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,
,,現象なし情報,品質情報,均質番号
1959/11,,,0,1
1959/12,,,0,1
1960/1,,,0,1
1960/2,,,0,1
1960/3,,,0,1
1960/4,,,0,1
1960/5,,,0,1
1960/6,,,0,1
1960/7,,,0,1
1960/8,,,0,1
1960/9,,,0,1
1960/10,,,0,1
1960/11,,,0,1
1960/12,,,0,1
1961/1,68,0,8,1
1961/2,93,0,8,1
1961/3,20,0,8,1
1961/4,0,1,8,1
1961/5,0,1,8,1
1961/6,0,1,8,1
1961/7,0,1,8,1
1961/8,0,1,8,1
1961/9,0,1,8,1
1961/10,0,1,8,1
1961/11,0,1,8,1
1961/12,13,0,8,1
1962/1,76,0,8,1
1962/2,67,0,8,1
1962/3,9,0,8,1
1962/4,0,1,8,1
1962/5,0,1,8,1
1962/6,0,1,8,1
1962/7,0,1,8,1
1962/8,0,1,8,1
1962/9,0,1,8,1
1962/10,0,1,8,1
1962/11,0,1,8,1
1962/12,6,0,8,1
1963/1,213,0,8,1
1963/2,199,0,8,1
1963/3,99,0,8,1
1963/4,0,1,8,1
1963/5,0,1,8,1
1963/6,0,1,8,1
1963/7,0,1,8,1
1963/8,0,1,8,1
1963/9,0,1,8,1
1963/10,0,1,8,1
1963/11,0,1,8,1
1963/12,11,0,8,1
1964/1,11,0,8,1
1964/2,28,0,8,1
1964/3,1,0,8,1
1964/4,0,1,8,1
1964/5,0,1,8,1
1964/6,0,1,8,1
1964/7,0,1,8,1
1964/8,0,1,8,1
1964/9,0,1,8,1
1964/10,0,1,8,1
1964/11,0,1,8,1
1964/12,1,0,8,1
1965/1,44,0,8,1
1965/2,28,0,8,1
1965/3,10,0,8,1
1965/4,1,0,8,1
1965/5,0,1,8,1
1965/6,0,1,8,1
1965/7,0,1,8,1
1965/8,0,1,8,1
1965/9,0,1,8,1
1965/10,0,1,8,1
1965/11,0,1,8,1
1965/12,32,0,8,1
1966/1,67,0,8,1
1966/2,45,0,8,1
1966/3,2,0,8,1
1966/4,0,1,8,1
1966/5,0,1,8,1
1966/6,0,1,8,1
1966/7,0,1,8,1
1966/8,0,1,8,1
1966/9,0,1,8,1
1966/10,0,1,8,1
1966/11,0,0,8,1
1966/12,24,0,8,1
1967/1,97,0,8,1
1967/2,43,0,8,1
1967/3,10,0,8,1
1967/4,0,1,8,1
